id,nazov_piva,pivovar,mesto,kraj,hodnotenie,sezonnost,skupina_piv,styl,stupnovitost,alkohol_percento,horkost_IBU,pivovar_matched,pivovar_original,pivovar_id_1,pivovar_id_2
92,Čáry Fuck 2019,Bad Flash,Praha,Hlavní město Praha,6.5,filipojakubské (pálení čarodějnic),nakuřované pivo,polotmavý ležák,13,5.400000095367432,Neuvedené,Bad Flash,Bad Flash,431,NULL
93,Desítka,Bad Flash,Praha,Hlavní město Praha,6.300000190734863,Neuvedené,Neuvedené,světlé výčepní,10,4,Neuvedené,Bad Flash,Bad Flash,431,NULL
94,Double IPA,Bad Flash,Praha,Hlavní město Praha,7.400000095367432,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",19,8.399999618530273,90,Bad Flash,Bad Flash,431,NULL
95,GS Weissbier,Bad Flash,Praha,Hlavní město Praha,7.5,Neuvedené,Neuvedené,American Wheat ( Wheat Ale ),13,5.400000095367432,Neuvedené,Bad Flash,Bad Flash,431,NULL
96,Lost Chance,Bad Flash,Praha,Hlavní město Praha,3.299999952316284,Neuvedené,Neuvedené,India Pale Ale ( Ale ),14,6,Neuvedené,Bad Flash,Bad Flash,431,NULL
97,MaxiSaison,Bad Flash,Praha,Hlavní město Praha,7,Neuvedené,Neuvedené,Strong Saison ( Saison ),14,6.300000190734863,Neuvedené,Bad Flash,Bad Flash Brouwerij Maximus,431,NULL
98,NEIPA,Bad Flash,Praha,Hlavní město Praha,6.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",15,6.400000095367432,Neuvedené,Bad Flash,Bad Flash,431,NULL
99,Oukach Kozé / Drum 'n' Bass Party IPA,Bad Flash,Praha,Hlavní město Praha,6,Neuvedené,Neuvedené,"Belgian IPA ( India Pale Ale , Ale )",13,5.699999809265137,Neuvedené,Bad Flash,Bad Flash,431,NULL
100,Pecka,Bad Flash,Praha,Hlavní město Praha,5,Neuvedené,Neuvedené,India Pale Lager,13,5.5,35,Bad Flash,Bad Flash,431,NULL
101,Red Shorts IPA,Bad Flash,Praha,Hlavní město Praha,4.5,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",15,6.5,55,Bad Flash,Bad Flash,431,NULL
102,Sex-APPAel,Bad Flash,Praha,Hlavní město Praha,3.5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,5.099999904632568,35,Bad Flash,Bad Flash,431,NULL
103,Sour Ale BlackCurrant & Pink Pepper,Bad Flash,Praha,Hlavní město Praha,6.300000190734863,Neuvedené,"černorybízové pivo ( ovocné pivo , ochucené pivo ) pepřové pivo ( kořeněné pivo , ochucené pivo )",Sour Ale,12,4.900000095367432,15,Bad Flash,Bad Flash,431,NULL
104,Statečné srdíčko,Bad Flash,Praha,Hlavní město Praha,7.5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",11,4.5,40,Bad Flash,Bad Flash,431,NULL
105,Stěhovák,Bad Flash,Praha,Hlavní město Praha,5,Neuvedené,Neuvedené,polotmavý ležák,12,4.900000095367432,Neuvedené,Bad Flash,Bad Flash,431,NULL
106,tmavý ležák,Bad Flash,Praha,Hlavní město Praha,4.800000190734863,Neuvedené,Neuvedené,tmavý ležák,12,5,Neuvedené,Bad Flash,Bad Flash,431,NULL
107,White Beauty,Bad Flash,Praha,Hlavní město Praha,6,Neuvedené,Neuvedené,Belgian Witbier,11,4.5,Neuvedené,Bad Flash,Bad Flash,431,NULL
108,Dark,Minipivovar Bahno,Pardubice,Pardubický kraj,4,Neuvedené,Neuvedené,tmavý speciál,14,NULL,Neuvedené,Minipivovar Bahno,Minipivovar Bahno,356,NULL
109,Pale Ale,Minipivovar Bahno,Pardubice,Pardubický kraj,2.5,Neuvedené,Neuvedené,Pale Ale ( Ale ),12,4.699999809265137,Neuvedené,Minipivovar Bahno,Minipivovar Bahno,356,NULL
110,Pils,Minipivovar Bahno,Pardubice,Pardubický kraj,3.5,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),12,5,Neuvedené,Minipivovar Bahno,Minipivovar Bahno,356,NULL
