id,nazov_piva,pivovar,mesto,kraj,hodnotenie,sezonnost,skupina_piv,styl,stupnovitost,alkohol_percento,horkost_IBU,pivovar_matched,pivovar_original,pivovar_id_1,pivovar_id_2
5664,Strakonický Žitný sváteční speciál,Strakonice,Strakonice,Jihočeský kraj,5,"jednorázová várka , vánoční , silvestrovské / novoroční",žitné pivo,světlý speciál,13,5.5,36,Strakonice,Strakonice,42,NULL
5665,Augustin Vídeňský Ale,Létající pivovar Strašák,Nové Strašecí,Středočeský kraj,6,Neuvedené,Neuvedené,Pale Ale ( Ale ),11,4.800000190734863,Neuvedené,Létající pivovar Strašák,Létající pivovar Strašák,579,NULL
5666,Belgian Brut IPA,Létající pivovar Strašák,Nové Strašecí,Středočeský kraj,6.5,Neuvedené,single hop wet hop,India Pale Ale ( Ale ),14,7,Neuvedené,Létající pivovar Strašák,Létající pivovar Strašák,579,NULL
5667,Elf,Létající pivovar Strašák,Nové Strašecí,Středočeský kraj,6,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",11,4.800000190734863,Neuvedené,Létající pivovar Strašák,Létající pivovar Strašák,579,NULL
5668,Ent Amber IPA,Létající pivovar Strašák,Nové Strašecí,Středočeský kraj,5.5,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",16,7,70,Létající pivovar Strašák,Létající pivovar Strašák,579,NULL
5669,Faun Citra IPA,Létající pivovar Strašák,Nové Strašecí,Středočeský kraj,7,Neuvedené,single hop,"American IPA ( India Pale Ale , Ale )",13,5.5,Neuvedené,Létající pivovar Strašák,Létající pivovar Strašák,579,NULL
5670,Nyx,Létající pivovar Strašák,Nové Strašecí,Středočeský kraj,7.5,Neuvedené,Neuvedené,Pale Ale ( Ale ),8,3.4000000953674316,Neuvedené,Létající pivovar Strašák,Létající pivovar Strašák,579,NULL
5671,Steinbier Ale,Strašnický pivovar,Praha,Hlavní město Praha,6.5,domovarnictví,Neuvedené,Ale Steinbier,13,NULL,Neuvedené,Strašnický pivovar,Strašnický pivovar,516,NULL
5672,Saison 12° Suchá zima,Středohoř,Ústí nad Labem,Ústecký kraj,7,zimní,Neuvedené,Belgian Saison ( Saison ),12,5.099999904632568,Neuvedené,Středohoř,Středohoř,674,NULL
5673,Studánecký Antal 10°,Studánka,Liberec,Liberecký kraj,6,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlé výčepní,10,4,Neuvedené,NULL,Studánka,214,NULL
5674,Studánecký Flik 11°,Studánka,Liberec,Liberecký kraj,5.199999809265137,Neuvedené,Neuvedené,polotmavý ležák,11,4.5,Neuvedené,NULL,Studánka,214,NULL
5675,Studánecký Gallasův ležák 12°,Studánka,Liberec,Liberecký kraj,4.5,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),12,5,Neuvedené,NULL,Studánka,214,NULL
5676,Studánecký Sládkův speciál 16°,Studánka,Liberec,Liberecký kraj,5,Neuvedené,Neuvedené,světlý speciál,16,6,Neuvedené,NULL,Studánka,214,NULL
5677,Suchdolský Jeník,Suchdolský Jeník,Praha,Hlavní město Praha,6.199999809265137,Neuvedené,Neuvedené,světlý ležák,12,4.900000095367432,Neuvedené,NULL,Suchdolský Jeník,522,NULL
5678,tmavý ležák,Suchdolský Jeník,Praha,Hlavní město Praha,3.299999952316284,Neuvedené,Neuvedené,tmavý ležák,12,4.900000095367432,Neuvedené,NULL,Suchdolský Jeník,522,NULL
5679,Helles,Sukin Syn,Praha,Hlavní město Praha,4,Neuvedené,Neuvedené,Helles,11,5,Neuvedené,Sukin Syn,Sukin Syn,517,NULL
5680,Sup Světlý ležák dvanáctka,U Supa,Praha,Hlavní město Praha,4.5,Neuvedené,Neuvedené,světlý ležák,12,5,Neuvedené,U Supa,U Supa,531,NULL
5681,Sup Tmavá čtrnáctka,U Supa,Praha,Hlavní město Praha,6,Neuvedené,Neuvedené,tmavý speciál,12,NULL,Neuvedené,U Supa,U Supa,531,NULL
5682,Sušičák India Pale Ale,U Švelchů,Sušice,Plzeňský kraj,4,Neuvedené,Neuvedené,India Pale Ale ( Ale ),15,6,Neuvedené,U Švelchů,U Švelchů,424,NULL
5683,Sv. Norbert Anniversary Lager,Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.599999904632568,Neuvedené,Neuvedené,světlý ležák,12,4.599999904632568,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5684,Svatojakubské pivo 11% Světlý ležák,Svatojakubský pivovar,Hluboké,Vysočina,5.5,Neuvedené,Neuvedené,světlý ležák,11,4.800000190734863,Neuvedené,Svatojakubský pivovar,Svatojakubský pivovar,716,NULL
5685,Svatokopecká Černá ponorka,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,5.5,Neuvedené,Neuvedené,Baltic Porter ( Porter ),17,8,Neuvedené,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5686,Svatokopecký Arcivévoda,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,7,Neuvedené,Neuvedené,Vienna Lager světlý ležák,12,5.199999809265137,Neuvedené,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5687,Svatokopecký Ginger,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,5.300000190734863,Neuvedené,zázvorové pivo ( ochucené pivo ),světlý ležák,11,4.900000095367432,30,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5688,Svatokopecký Hanibal 12°,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,6,Neuvedené,Neuvedené,světlý ležák,12,5.199999809265137,32,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5689,Svatokopecký Karel tmavý speciál,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,2.5,Neuvedené,Neuvedené,tmavý speciál,14,5.400000095367432,30,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5690,Svatokopecký Yankee A.P.A.,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,6.300000190734863,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,NULL,Neuvedené,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5691,Svatokopecký Yankee A.P.A. Equinox,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,6.5,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",13,5.400000095367432,40,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5692,Svatokopecký Yankee A.P.A. Mosaic,Minipivovar Olomouc - Svatý Kopeček,Olomouc,Olomoucký kraj,6.5,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",12,NULL,Neuvedené,Minipivovar Olomouc - Svatý Kopeček,Minipivovar Olomouc - Svatý Kopeček,313,NULL
5693,Hefe-Weizen 13°,Svatováclavský pivovar,Olomouc,Olomoucký kraj,5.800000190734863,Neuvedené,Neuvedené,světlé pšeničné,13,NULL,Neuvedené,Svatováclavský pivovar,Svatováclavský pivovar,326,NULL
5694,Kávové pivo,Svatováclavský pivovar,Olomouc,Olomoucký kraj,2.5,Neuvedené,kávové pivo ( ochucené pivo ),tmavý speciál,13,NULL,Neuvedené,Svatováclavský pivovar,Svatováclavský pivovar,326,NULL
5695,polotmavá 13°,Svatováclavský pivovar,Olomouc,Olomoucký kraj,6.5,Neuvedené,Neuvedené,polotmavý speciál,13,5.300000190734863,Neuvedené,Svatováclavský pivovar,Svatováclavský pivovar,326,NULL
5696,Svatováclavská 12°,Svatováclavský pivovar,Olomouc,Olomoucký kraj,6.300000190734863,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,12,NULL,Neuvedené,Svatováclavský pivovar,Svatováclavský pivovar,326,NULL
5697,Tmavé pivo pana Bruna 13°,Svatováclavský pivovar,Olomouc,Olomoucký kraj,7.199999809265137,Neuvedené,Neuvedené,tmavý speciál,13,NULL,Neuvedené,Svatováclavský pivovar,Svatováclavský pivovar,326,NULL
5698,Vašek 10°,Svatováclavský pivovar,Olomouc,Olomoucký kraj,6.300000190734863,Neuvedené,Neuvedené,světlé výčepní Bohemian Pilsner ( Pilsner ),10,NULL,Neuvedené,Svatováclavský pivovar,Svatováclavský pivovar,326,NULL
5699,Višňové pivo,Svatováclavský pivovar,Olomouc,Olomoucký kraj,2,Neuvedené,"višňové pivo ( ovocné pivo , ochucené pivo )",světlý speciál,13,NULL,Neuvedené,Svatováclavský pivovar,Svatováclavský pivovar,326,NULL
5700,Rubínový speciál 15° Longin,Svatý Florian,Loket,Karlovarský kraj,6.5,Neuvedené,Neuvedené,polotmavý speciál,15,6,Neuvedené,Svatý Florian,Svatý Florian,156,NULL
5701,Světlý ležák 11°,Svatý Florian,Loket,Karlovarský kraj,5.5,Neuvedené,Neuvedené,světlý ležák,11,4.300000190734863,Neuvedené,Svatý Florian,Svatý Florian,156,NULL
5702,Tmavý speciál 13° Špekové pivo,Svatý Florian,Loket,Karlovarský kraj,7.300000190734863,Neuvedené,nakuřované pivo,tmavý speciál,13,5.199999809265137,Neuvedené,Svatý Florian,Svatý Florian,156,NULL
5703,Fešák světlý ležák,Svatý Ján,Polepy u Kolína,Středočeský kraj,5.5,Neuvedené,Neuvedené,světlý ležák,12,4.199999809265137,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5704,Mazel 14° polotmavý,Svatý Ján,Polepy u Kolína,Středočeský kraj,2.5,Neuvedené,Neuvedené,polotmavý speciál,14,5.099999904632568,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5705,Mazel 14° tmavý čtyřsladový speciál,Svatý Ján,Polepy u Kolína,Středočeský kraj,4,Neuvedené,Neuvedené,tmavý speciál,14,5.099999904632568,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5706,Oliver,Svatý Ján,Polepy u Kolína,Středočeský kraj,5.5,Neuvedené,Neuvedené,German Hefeweizen,12,4.199999809265137,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5707,Povstalec IPA 13%,Svatý Ján,Polepy u Kolína,Středočeský kraj,4,Neuvedené,Neuvedené,India Pale Ale ( Ale ),13,5.099999904632568,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5708,Povstalec IPA 15%,Svatý Ján,Polepy u Kolína,Středočeský kraj,5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),15,NULL,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5709,Povstalec IPA 17%,Svatý Ján,Polepy u Kolína,Středočeský kraj,3.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),17,7.199999809265137,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5710,Povstalec IPA 18%,Svatý Ján,Polepy u Kolína,Středočeský kraj,7.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),18,NULL,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5711,pšeničné pivo mladé,Svatý Ján,Polepy u Kolína,Středočeský kraj,6,Neuvedené,Neuvedené,German Hefeweizen,12,4.199999809265137,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5712,Stout,Svatý Ján,Polepy u Kolína,Středočeský kraj,2.299999952316284,Neuvedené,Neuvedené,Stout,15,6.199999809265137,Neuvedené,Svatý Ján,Svatý Ján,618,NULL
5713,Svatý Norbert Amber lager (Jantar),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.100000381469727,Neuvedené,Neuvedené,polotmavý speciál,13,4.900000095367432,35,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5714,Svatý Norbert American Amber Ale,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",13,5,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5715,Svatý Norbert Antidepressant Autumn Dark Ale,Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.5,podzimní,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",16,6.300000190734863,55,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5716,Svatý Norbert Antidepressant Autumn Dark Lager Sylva,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,podzimní,wet hop,tmavý speciál Dunkler Bock ( Bock ),16,6.300000190734863,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5717,Svatý Norbert Antidepressant Autumn Dark Lager ŽPČ,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.100000381469727,podzimní,wet hop,tmavý speciál,16,6.300000190734863,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5718,Svatý Norbert Antidepressant Autumn Pale Ale (2016),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,Neuvedené,wet hop,"American Pale Ale ( Pale Ale , Ale )",15,5.900000095367432,55,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5719,Svatý Norbert Antidepressant Autumn Pale Ale (2017),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,Neuvedené,wet hop,"American Pale Ale ( Pale Ale , Ale )",15,5.900000095367432,55,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5720,Svatý Norbert Antidepressant Autumn Pale Ale (2021),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.800000190734863,podzimní,wet hop,"American Pale Ale ( Pale Ale , Ale )",NULL,4.800000190734863,30,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5721,Svatý Norbert APA (2013/14),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",14,5.5,Neuvedené,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5722,Svatý Norbert APA (2016),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,jarní,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,5,4,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5723,Svatý Norbert APA (2018),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,4.900000095367432,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5724,Svatý Norbert APA (2019),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",NULL,5,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5725,Svatý Norbert Barley Wine (2016),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.899999618530273,Neuvedené,cedar chips aged,American Barleywine ( Barley Wine ),24,9.699999809265137,75,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5726,Svatý Norbert Barley Wine Single Hop Citra (2020),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,American Barleywine ( Barley Wine ),23,8.800000190734863,75,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5727,Svatý Norbert Barley Wine Wood-Aged (2020),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,Neuvedené,"pomerančové pivo ( ovocné pivo , ochucené pivo ) cedar chips aged single hop",American Barleywine ( Barley Wine ),23,9.300000190734863,75,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5728,Svatý Norbert Coconut Session IPA,Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,"kokosové pivo ( ovocné pivo , ochucené pivo )","Session IPA ( India Pale Ale , Ale )",NULL,4.300000190734863,19,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5729,Svatý Norbert Dark lager (speciální tmavé),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.199999809265137,Neuvedené,Neuvedené,tmavý speciál,14,5.5,40,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5730,Svatý Norbert Double Hazy IPA (2023),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",NULL,7.699999809265137,40,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5731,Svatý Norbert Dunkel Weizenbock,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,tříkrálové,Neuvedené,Dunkler Weizenbock ( Weizenbock ),16,6.300000190734863,15,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5732,Svatý Norbert Dunkel Weizenbock - Tříkrálové pšeničné tmavé (- 2015),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.800000190734863,tříkrálové,Neuvedené,Dunkler Weizenbock ( Weizenbock ),16,6.300000190734863,16,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5733,Svatý Norbert Dunkelweizen,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,tříkrálové,Neuvedené,Dunkelweizen,17,5.599999904632568,Neuvedené,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5734,Svatý Norbert Easter Pils (Velikonoční),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.900000095367432,velikonoční,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý speciál,13,5,40,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5735,Svatý Norbert Golden Strong Ale,Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),15,NULL,Neuvedené,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5736,Svatý Norbert Hazy IPA (2018),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",NULL,5.5,50,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5737,Svatý Norbert Hazy IPA (2019),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",16,6.300000190734863,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5738,Svatý Norbert Hazy IPA (2020),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",16,6.300000190734863,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5739,Svatý Norbert Hazy IPA (2023),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.199999809265137,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",NULL,5.5,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5740,Svatý Norbert Hazy IPA (2024 II),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",NULL,5.5,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5741,Svatý Norbert Hazy IPA (2024),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",NULL,5.5,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5742,Svatý Norbert Hazy Mango Pale Ale (2019),Klášterní pivovar Strahov,Praha,Hlavní město Praha,6.800000190734863,Neuvedené,"mango pivo ( ovocné pivo , ochucené pivo )","American Pale Ale ( Pale Ale , Ale )",11,4.300000190734863,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5743,Svatý Norbert Cherry Mild,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,Neuvedené,"cherrywood aged višňové pivo ( ovocné pivo , ochucené pivo )","Dark Mild ( Mild Ale , Ale )",11,4.300000190734863,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5744,Svatý Norbert Chocolate Stout (2016),Klášterní pivovar Strahov,Praha,Hlavní město Praha,9,Neuvedené,cherrywood aged čokoládové pivo ( ochucené pivo ),Chocolate Stout ( Stout ),15,5.900000095367432,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5745,Svatý Norbert Chocolate Stout (2017),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.699999809265137,Neuvedené,cherrywood aged,Chocolate Stout ( Stout ),15,4.900000095367432,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5746,Svatý Norbert Chocolate Stout (2018),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,Neuvedené,cherrywood aged čokoládové pivo ( ochucené pivo ),Chocolate Stout ( Stout ),15,5.900000095367432,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5747,Svatý Norbert Christmas Doppelbock (2016),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.800000190734863,vánoční,oak chips aged,Doppelbock ( Bock ),19,7.699999809265137,55,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5748,Svatý Norbert Christmas Doppelbock (2017),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.5,vánoční,oak chips aged,Doppelbock ( Bock ),19,7.699999809265137,45,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5749,Svatý Norbert Christmas Doppelbock (2018),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.699999809265137,vánoční,Neuvedené,Doppelbock ( Bock ),19,7.699999809265137,55,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5750,Svatý Norbert Christmas Doppelbock (2019),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,vánoční,Neuvedené,Doppelbock ( Bock ),19,7.699999809265137,55,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5751,Svatý Norbert Christmas Doppelbock (Vánoční),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,vánoční,Neuvedené,Doppelbock ( Bock ),19,7.699999809265137,55,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5752,Svatý Norbert IPA,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.100000381469727,Neuvedené,Neuvedené,India Pale Ale ( Ale ),16,6.300000190734863,60,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5753,Svatý Norbert IPA (2024),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",16,6.300000190734863,60,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5754,Svatý Norbert Juicy IPA,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",NULL,5.5,20,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5755,Svatý Norbert Maibock,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,jarní,Neuvedené,Heller Bock / Maibock ( Bock ),16,6.300000190734863,Neuvedené,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5756,Svatý Norbert Mango Hazy Pale Ale (2018),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,"mango pivo ( ovocné pivo , ochucené pivo )","New England IPA ( India Pale Ale , Ale )",11,4.300000190734863,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5757,Svatý Norbert masopustní nakuřovaný porter (2013),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,masopustní,nakuřované pivo,English Porter ( Porter ),16,6.300000190734863,Neuvedené,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5758,Svatý Norbert November Brown Ale (2011),Klášterní pivovar Strahov,Praha,Hlavní město Praha,9,podzimní,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",15,5.900000095367432,50,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5759,Svatý Norbert November Brown Ale (2013),Břevnovský klášterní pivovar,Praha,Hlavní město Praha,8.5,podzimní,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",15,5.900000095367432,50,Břevnovský klášterní pivovar,Břevnovský klášterní pivovar,436,NULL
5760,Svatý Norbert November Brown Ale (2015),Klášterní pivovar Strahov,Praha,Hlavní město Praha,7.800000190734863,podzimní,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",15,5.900000095367432,50,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5761,Svatý Norbert November Brown Ale (2017),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,podzimní,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",15,5.900000095367432,50,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5762,Svatý Norbert November Brown Ale (2018),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,podzimní,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",15,5.900000095367432,50,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5763,Svatý Norbert Oktoberfest Märzen,Klášterní pivovar Strahov,Praha,Hlavní město Praha,7,Neuvedené,Neuvedené,Märzen,15,5.900000095367432,25,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5764,Svatý Norbert One Last Beer,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.399999618530273,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",24,10,80,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5765,Svatý Norbert Poutní Grätzer,Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.800000190734863,Neuvedené,nakuřované pivo bylinné pivo ( ochucené pivo ),Grodziskie,NULL,3.799999952316284,10,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5766,Svatý Norbert Prohibition Double IPA (2012),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",19,7.699999809265137,Neuvedené,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5767,Svatý Norbert Prohibition Double IPA (2014),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",19,7.699999809265137,70,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5768,Svatý Norbert Prohibition Double IPA (2017),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,silvestrovské / novoroční,Neuvedené,"Double IPA ( India Pale Ale , Ale )",19,7.699999809265137,70,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5769,Svatý Norbert Prohibition Double IPA (2018),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.5,silvestrovské / novoroční,Neuvedené,"Double IPA ( India Pale Ale , Ale )",19,7.699999809265137,70,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5770,Svatý Norbert Prohibition Double IPA (2019),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.100000381469727,silvestrovské / novoroční,Neuvedené,"Double IPA ( India Pale Ale , Ale )",19,7.699999809265137,70,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
5771,Svatý Norbert Prohibition Double IPA (2020),Klášterní pivovar Strahov,Praha,Hlavní město Praha,8.300000190734863,silvestrovské / novoroční,Neuvedené,"Double IPA ( India Pale Ale , Ale )",19,7.699999809265137,70,Klášterní pivovar Strahov,Klášterní pivovar Strahov,462,NULL
