id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
131,Dvanáct,Baran,90,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
132,Mlsnej fotr,Bartoš,342,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
133,Sagvan,Bartoš,342,NULL,Neuvedené,Neuvedené,American Porter ( Porter ),Ale,Dark,NULL,Porter
134,Baštýř 10°,Energon,558,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
135,Baštýř Nakuřovaná 12°,Energon,558,NULL,Neuvedené,nakuřované pivo,polotmavý ležák,Lager,NULL,NULL,Polotmavý
136,Baštýř Polotmavý ležák,Energon,558,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
137,Baštýř Světlý ležák,Energon,558,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
138,Be(er) Wheat Mate,U Bizona,417,NULL,Neuvedené,"maté pivo ( bylinné pivo , ochucené pivo )",světlý ležák světlé pšeničné,Lager,Wheat,NULL,NULL
139,Hladový Kiwi IPL,Beaver's And Duck's,432,NULL,Neuvedené,Neuvedené,India Pale Lager,Lager,NULL,NULL,IPL
140,Bedřichova dvanáctka světlá,Veselka,368,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
141,Bedřichova jedenáctka polotmavá,Veselka,368,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
142,Bedřichova jedenáctka světlá,Veselka,368,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
143,APA,Beer Daddy,136,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
144,IPA 14 %,Beer Daddy,136,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
145,Ležák 11%,Beer Daddy,136,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
146,Ležák 12%,Beer Daddy,136,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
147,Summer Pale Ale 9%,Beer Daddy,136,NULL,letní,Neuvedené,"American Blond Ale ( Golden Ale , Ale )",Ale,NULL,NULL,Blond/Golden
148,Amber Ale,Beer Factory,374,NULL,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",Ale,NULL,NULL,Amber
149,Beertime Hefeweizen,Beer Factory,374,NULL,Neuvedené,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
150,Black Ale,Beer Factory,374,NULL,Neuvedené,Neuvedené,Porter,Ale,Dark,NULL,Porter
151,Black Lager,Beer Factory,374,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
152,Bock 16°,Beer Factory,374,NULL,Neuvedené,Neuvedené,Dunkler Bock ( Bock ) polotmavý speciál,Lager,Special,NULL,"Bock, Polotmavý"
153,Bock 17°,Beer Factory,374,NULL,Neuvedené,Neuvedené,Dunkler Bock ( Bock ),Lager,Dark,NULL,Bock
154,Brut IPA,Beer Factory,374,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
155,Double Juicy IPA,Beer Factory,374,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
156,Fresh Saaz Ale,Beer Factory,374,NULL,Neuvedené,wet hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
157,Harmony Lager Single Hop,Beer Factory,374,NULL,Neuvedené,single hop,světlý ležák,Lager,NULL,NULL,NULL
158,Hop Factor American IPA,Beer Factory,374,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
159,Hop Factor Australian IPA,Beer Factory,374,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
